mol_id,smiles,antibacterial,Polyketides,cluster
1621,CC1OC2CC(=O)OC2C2=C1C(=O)c1cc(-c3cc(O)c4c(c3)C(=O)C3=C(C4=O)C4OC(=O)CC4OC3(C)O)cc(O)c1C2=O,1,1,1
1649,COC12CC(=O)OC13C(=O)c1c(cc4cc(O)c5c(c4c1O)CN(C)C5=O)C(=O)C3(OC1CCC(O)C(C)O1)CO2,1,1,1
1658,Cc1cc(O)c2c(c1)C(=O)C1=C(C2=O)C(O)C(O)C(O)C1,1,1,1
1659,COC1=CC(=O)c2c(O)c3c(c(C)c2C1=O)CC1(O)C(OC2CCC(OC4CC(C)(O)C(OC(=O)c5c(C)ccc(C)c5O)C(C)O4)C(C)O2)C(=O)C(=C(C)O)C(=O)C1(O)C3=O,1,1,9
1660,CC1CC(=O)C2(O)C3=C(C=CC2(O)C1)C(=O)c1c(O)cccc1C3=O,1,1,1
1671,COc1cc(O)c2c(c1)C=CCC(O)C(O)C(O)C=CCC(C)OC2=O,1,1,4
1672,COc1cc(O)c2c(c1)C=CCC(O)C(O)C(=O)C=CCC(C)OC2=O,1,1,1
1676,Cc1cc(O)c2c(c1)OC1(C)C(O)CCC(O)C1(O)C2=O,1,1,1
1677,CC12Oc3cc(CO)cc(O)c3C(=O)C1(O)C(O)CCC2O,1,1,1
1678,CC1(C2CCC(=O)O2)CC(=O)c2c(O)cc(O)cc2O1,1,1,1
1679,COC1=CC(=O)C(O)C2(O)C(=O)c3c(O)cc(C)cc3OC12C,1,1,1
1680,CC1Oc2cccc(O)c2C(=O)C1O,1,1,1
1681,Cc1cc2c(c(O)c1-c1c(C)cc3c(c1O)C(=O)C1=C(O)C=CC(O)C1(C)O3)C(=O)C1=C(O)C=CC(O)C1(C)O2,1,1,1
1682,Cc1cc2c(c(O)c1-c1c(C)cc3c(c1O)C(=O)C1=C(O)C=CC(O)C1(C)O3)C(=O)C1=C(O)C=CC(=O)C1(C)O2,1,1,1
1686,CC=C(CO)c1oc(=O)cc(OC)c1CO,1,1,4
1687,CC(C)=CCOc1c(C)cc(O)c2c1C(O)Oc1c(CC=C(C)C)ccc(O)c1C2=O,1,1,6
1688,C=C1C2(C)CC3C4(C)CCC(=O)C(C)(C)C4CCC3(C)C1(C(=O)OC)C(=O)C(C)(O)C2=O,1,1,4
1698,CCCCCc1cc(O)c(CC=C(C)CCC=C(C)C)c(O)c1,1,1,5
1699,Cc1ccc2c(c1O)C(=O)c1ccc(O)cc1C2=O,1,1,6
1700,Cc1c(O)cc2c(c1O)C(=O)c1ccccc1C2=O,1,1,6
1701,CC=CC1=CC2=C(CO1)C(=O)C(C)(OC(=O)c1c(C)cc(O)c(O)c1OC)C(O)C2,1,1,4
1702,CC=CC1=CC2=C(CO1)C(=O)C(C)(O)C(OC(=O)c1c(C)cc(O)cc1O)C2,1,1,4
1703,CC=CC1=CC2=C(CO1)C(=O)C(C)(O)C(OC(=O)c1c(C)cc(O)c(O)c1OC)C2,1,1,1
1770,COc1cc(OC)c2c(O)c3c(c(-c4c(OC)cc5cc(O)c6c(=O)cc(C)oc6c5c4OC)c2c1)OC(C)(O)CC3=O,1,1,6
1771,COc1cc(OC)c2c(O)c3c(=O)cc(C)oc3c(-c3c(OC)cc4cc(O)c5c(=O)cc(C)oc5c4c3OC)c2c1,1,1,6
1793,CCC(=CC=CC1C=CC2C(CC)CCC2C1C(=O)c1ccc[nH]1)C1OC(C(C)C(=O)O)CCC1C,1,1,3
1803,O=C1C=C2COC(O)C=C2O1,1,1,4
1807,COC1=C(O)c2c(O)cc(C)c3c4c(c(O)c(c23)C1=O)C(C)(C)C(C)O4,1,1,1
1808,COC(=O)CC1Cc2cc3c(-c4c(OC)cc(O)c5c(O)c6c(cc45)CC(CC(=O)OC)OC6=O)c(OC)cc(O)c3c(O)c2C(=O)O1,1,1,1
1831,CCCCCCCCCCCCCCCc1cc(O)cc(O)c1,0,1,5
